UserHandle;Body;CommentDate;ProductId;SourceId
;Gran relación calidad-precio;2025-07-07;;2
;Muy satisfecho con la compra, lo recomiendo;2025-07-25;;2
C019;Producto recibido, cumple su función;2025-07-03;;3
C022;Gran relación calidad-precio;2025-07-12;;1
;No funciona como esperaba, decepcionado;2025-08-02;;2
;No funciona como esperaba, decepcionado;2025-08-01;;2
C013;Calidad superior, muy contento;2025-07-10;;3
C007;Muy satisfecho con la compra, lo recomiendo;2025-08-03;;3
C025;Producto llegó rápido y funciona perfecto;2025-08-06;;3
;Producto llegó rápido y funciona perfecto;2025-08-14;;1
;No funciona como esperaba, decepcionado;2025-06-18;;3
;Es lo que esperaba, nada excepcional;2025-08-29;;1
C015;Muy satisfecho con la compra, lo recomiendo;2025-08-25;;3
;No cumple con lo anunciado, insatisfecho;2025-07-05;;1
;Información suficiente, sin mayor novedad;2025-06-18;;2
;Calidad superior, muy contento;2025-06-15;;1
C037;Gran relación calidad-precio;2025-08-19;;1
C011;Gran relación calidad-precio;2025-08-30;;3
;Pésima atención al cliente;2025-09-06;;3
C027;Muy mala calidad, se rompió rápido;2025-07-16;;1
;Me encanta este producto, excelente calidad;2025-08-17;;1
C028;Me encanta este producto, excelente calidad;2025-09-06;;1
;Envío tardío y producto dañado;2025-08-21;;3
;Entrega correcta, sin comentarios adicionales;2025-07-27;;3
;Entrega correcta, sin comentarios adicionales;2025-06-18;;2
C023;Gran relación calidad-precio;2025-07-08;;3
;Me encanta este producto, excelente calidad;2025-08-06;;2
;Pésima atención al cliente;2025-08-15;;3
C010;Me encanta este producto, excelente calidad;2025-06-21;;2
;Producto recibido, cumple su función;2025-08-18;;2
C003;Muy mala calidad, se rompió rápido;2025-09-08;;2
C035;Me encanta este producto, excelente calidad;2025-07-11;;2
C037;Gran relación calidad-precio;2025-08-03;;1
C010;Satisface lo básico;2025-07-23;;2
C036;Información suficiente, sin mayor novedad;2025-06-19;;1
C004;Entrega correcta, sin comentarios adicionales;2025-08-04;;1
C020;Gran relación calidad-precio;2025-08-14;;3
C010;Producto recibido, cumple su función;2025-07-23;;1
C009;Producto llegó rápido y funciona perfecto;2025-08-02;;2
;Producto recibido, cumple su función;2025-08-20;;1
C039;Muy mala calidad, se rompió rápido;2025-06-30;;2
C014;Es lo que esperaba, nada excepcional;2025-09-12;;3
;Producto recibido, cumple su función;2025-07-14;;1
;Entrega correcta, sin comentarios adicionales;2025-07-05;;2
;Gran relación calidad-precio;2025-07-30;;1
C033;Entrega correcta, sin comentarios adicionales;2025-07-15;;2
;Calidad superior, muy contento;2025-07-03;;2
;Gran relación calidad-precio;2025-07-01;;1
C013;Calidad superior, muy contento;2025-08-13;;1
C022;Calidad superior, muy contento;2025-06-23;;1
C023;Gran relación calidad-precio;2025-08-21;;3
;Satisface lo básico;2025-09-04;;2
;No funciona como esperaba, decepcionado;2025-06-15;;2
C033;Muy mala calidad, se rompió rápido;2025-06-24;;1
;Muy mala calidad, se rompió rápido;2025-07-07;;2
C002;Envío tardío y producto dañado;2025-08-08;;1
C028;Información suficiente, sin mayor novedad;2025-09-01;;2
C013;Envío tardío y producto dañado;2025-08-10;;3
C026;No funciona como esperaba, decepcionado;2025-08-16;;1
;Producto recibido, cumple su función;2025-07-24;;2
C031;Me encanta este producto, excelente calidad;2025-08-23;;1
C028;Envío tardío y producto dañado;2025-09-01;;1
;Gran relación calidad-precio;2025-08-10;;3
;Envío tardío y producto dañado;2025-07-03;;1
C021;Muy satisfecho con la compra, lo recomiendo;2025-08-26;;1
;Gran relación calidad-precio;2025-07-03;;2
;No cumple con lo anunciado, insatisfecho;2025-08-27;;1
C023;Calidad superior, muy contento;2025-09-04;;2
;Pésima atención al cliente;2025-08-03;;3
;Entrega correcta, sin comentarios adicionales;2025-08-15;;3
C025;Pésima atención al cliente;2025-07-27;;1
;Muy satisfecho con la compra, lo recomiendo;2025-09-04;;1
C025;Información suficiente, sin mayor novedad;2025-07-26;;1
C006;Producto llegó rápido y funciona perfecto;2025-07-29;;3
C006;Calidad superior, muy contento;2025-07-04;;1
C002;Gran relación calidad-precio;2025-06-29;;2
;Producto recibido, cumple su función;2025-07-23;;3
;Satisface lo básico;2025-07-02;;2
C025;Producto llegó rápido y funciona perfecto;2025-08-10;;3
C011;No cumple con lo anunciado, insatisfecho;2025-07-14;;3
C016;Entrega correcta, sin comentarios adicionales;2025-06-27;;1
C009;Calidad superior, muy contento;2025-06-26;;3
;Producto llegó rápido y funciona perfecto;2025-06-22;;3
C021;No funciona como esperaba, decepcionado;2025-08-04;;3
;Es lo que esperaba, nada excepcional;2025-06-17;;1
;Es lo que esperaba, nada excepcional;2025-08-09;;3
C037;Gran relación calidad-precio;2025-06-18;;2
C030;Información suficiente, sin mayor novedad;2025-08-07;;3
;Entrega correcta, sin comentarios adicionales;2025-07-12;;1
;Muy satisfecho con la compra, lo recomiendo;2025-07-21;;1
C039;No cumple con lo anunciado, insatisfecho;2025-07-11;;1
C024;Satisface lo básico;2025-06-24;;1
C016;Envío tardío y producto dañado;2025-06-23;;2
C026;Es lo que esperaba, nada excepcional;2025-08-31;;3
C015;Pésima atención al cliente;2025-07-01;;1
C024;Gran relación calidad-precio;2025-07-11;;1
C002;Envío tardío y producto dañado;2025-09-03;;3
;Es lo que esperaba, nada excepcional;2025-08-01;;3
;Envío tardío y producto dañado;2025-09-01;;3
;Muy mala calidad, se rompió rápido;2025-09-08;;3
C022;No funciona como esperaba, decepcionado;2025-08-13;;1
C011;Calidad superior, muy contento;2025-08-15;;3
;Calidad superior, muy contento;2025-09-10;;3
;No cumple con lo anunciado, insatisfecho;2025-09-13;;3
C005;Pésima atención al cliente;2025-07-29;;2
C008;Calidad superior, muy contento;2025-06-24;;1
C040;Me encanta este producto, excelente calidad;2025-07-30;;3
;Es lo que esperaba, nada excepcional;2025-06-30;;1
;Muy satisfecho con la compra, lo recomiendo;2025-08-30;;3
C010;No cumple con lo anunciado, insatisfecho;2025-08-27;;1
C012;Pésima atención al cliente;2025-06-23;;1
C032;Muy satisfecho con la compra, lo recomiendo;2025-07-18;;3
C023;Entrega correcta, sin comentarios adicionales;2025-08-20;;2
;No cumple con lo anunciado, insatisfecho;2025-06-18;;3
C029;Muy mala calidad, se rompió rápido;2025-09-10;;1
C018;Producto llegó rápido y funciona perfecto;2025-07-17;;2
;Satisface lo básico;2025-08-30;;1
C035;Es lo que esperaba, nada excepcional;2025-09-08;;1
C028;Muy satisfecho con la compra, lo recomiendo;2025-09-09;;3
C006;Muy mala calidad, se rompió rápido;2025-08-18;;2
;Satisface lo básico;2025-07-21;;1
;Información suficiente, sin mayor novedad;2025-07-03;;2
C039;Envío tardío y producto dañado;2025-08-07;;1
C033;Producto recibido, cumple su función;2025-07-23;;2
;Información suficiente, sin mayor novedad;2025-08-28;;1
C021;Entrega correcta, sin comentarios adicionales;2025-08-26;;3
;No cumple con lo anunciado, insatisfecho;2025-09-04;;3
C018;Envío tardío y producto dañado;2025-07-13;;3
C006;Entrega correcta, sin comentarios adicionales;2025-06-20;;1
;Entrega correcta, sin comentarios adicionales;2025-07-21;;2
C021;Es lo que esperaba, nada excepcional;2025-07-02;;1
C032;Producto recibido, cumple su función;2025-09-01;;2
C011;Muy mala calidad, se rompió rápido;2025-08-19;;3
;Producto llegó rápido y funciona perfecto;2025-06-22;;2
C024;No funciona como esperaba, decepcionado;2025-07-25;;2
;Entrega correcta, sin comentarios adicionales;2025-09-02;;1
C031;Gran relación calidad-precio;2025-07-09;;2
C022;Entrega correcta, sin comentarios adicionales;2025-08-28;;1
C025;Me encanta este producto, excelente calidad;2025-08-04;;2
;Muy satisfecho con la compra, lo recomiendo;2025-06-19;;1
C037;Muy satisfecho con la compra, lo recomiendo;2025-07-31;;3
;Calidad superior, muy contento;2025-06-18;;1
;Me encanta este producto, excelente calidad;2025-08-29;;2
;Calidad superior, muy contento;2025-08-27;;3
C006;Gran relación calidad-precio;2025-06-28;;1
;Envío tardío y producto dañado;2025-07-09;;2
C026;Me encanta este producto, excelente calidad;2025-07-12;;2
C032;Muy mala calidad, se rompió rápido;2025-09-12;;1
;Gran relación calidad-precio;2025-07-29;;3
